informativeness_rank,evaluation_id,suite_id,metric,models_with_score,model_coverage,parity_medae,hidden_only_medae,model_average_mae,improvement_over_column_median,column_baseline_medae,skill_in_sample_matrixwide_numerator_DEPRECATED,column_loo_baseline_medae,column_robust_dispersion,matched_cell_n,matched_cell_k0_medae,matched_cell_greedy_medae,matched_cell_greedy_beats_k0,skill_numerator_medae,skill_numerator_scope,medae_ratio_to_loo_baseline,skill_score,skill_score_raw,skill_excluded_below_noise_floor,skill_exclusion_reason,parity_medae_normalized,parity_medae_normalized_sd_legacy
31,pathobench.exaone2025.hancook.primarily-metastasis,pathobench,macro-ovr-auc,7,0.11864406779661017,2.1496449935932205,2.1683132974915083,4.3768802221346474,-0.249644993593229,2.200000000000003,0.022888639275810085,2.9000000000000057,3.261720000000004,5,2.226472583849201,1.133424637979715,True,1.133424637979715,lofo_matched_cells_greedy_k4_per_column,0.39083608206196996,0.60916391793803,0.60916391793803,False,,0.6590525837880682,0.536079541380343
32,eva.leaderboard.breakhis.validation,eva,balanced_accuracy,19,0.3220338983050847,2.1523497236606417,2.176336481219977,4.001058000312562,-0.2523497236606502,3.9000000000000057,0.4481154554716311,4.299999999999997,5.782140000000008,19,4.890510702436572,3.7114181336598335,True,3.7114181336598335,lofo_matched_cells_greedy_k4_per_column,0.8631204961999619,0.1368795038000381,0.1368795038000381,False,,0.37224102558233435,0.23386328388506342
33,thunder.break_his.linear_probing,thunder,f1,32,0.5423728813559322,2.155151783327902,2.1997224022174606,4.1971727944280905,-0.25515178332791066,7.3999999999999915,0.7087632725232561,7.5,10.971239999999987,17,6.468500542631283,6.209856095751462,True,6.209856095751462,lofo_matched_cells_greedy_k4_per_column,0.8279808127668616,0.17201918723313836,0.17201918723313836,False,,0.19643648150326715,0.21576361809117636
34,pathobench.exaone2025.bracs.slidelevel-fine,pathobench,macro-ovr-auc,7,0.11864406779661017,2.1579185516903436,2.1716544809428413,4.393109285362405,-0.25791855169035216,2.799999999999997,0.22931480296773366,4.1000000000000085,4.151279999999995,5,2.87016163361605,2.87016163361605,False,2.87016163361605,lofo_matched_cells_greedy_k4_per_column,0.7000394228331814,0.29996057716681856,0.29996057716681856,False,,0.5198200438636628,0.7261554554606933
35,pathobench.exaone2025.bracs.slidelevel-coarse,pathobench,macro-ovr-auc,7,0.11864406779661017,2.1582933344193123,2.1683132974915083,4.388392924968259,-0.2582933344193208,1.8999999999999915,-0.1359438602206957,4.299999999999997,2.8169399999999873,6,3.8889576361454274,3.4992263230290774,True,3.4992263230290774,lofo_matched_cells_greedy_k4_per_column,0.8137735634951349,0.18622643650486514,0.18622643650486514,False,,0.7661836370030324,0.6275658570616461
36,hest.hoptimus1report2025.read.gene_expression,hest,pearson_r,5,0.0847457627118644,2.1679199769190163,2.1716544809428413,4.360757121270605,-0.2679199769190248,0.6499999999999986,-2.33526150295234,0.6749999999999972,0.9636899999999978,3,0.35499790736980685,1.096434508684105,False,1.096434508684105,lofo_matched_cells_greedy_k4_per_column,1.624347420272755,-0.624347420272755,-0.624347420272755,False,,2.2496030641793743,2.2639069852508436
37,hest.hoptimus1report2025.idc.gene_expression,hest,pearson_r,5,0.0847457627118644,2.168735724371526,2.17529062538226,4.393936322840107,-0.2687357243715347,0.30000000000001137,-6.229119081238147,0.3500000000000085,0.44478000000001683,5,0.7779466602234919,0.6190946315520165,True,0.6190946315520165,lofo_matched_cells_greedy_k4_per_column,,,,True,noise_floor,4.875974019451064,4.518199425774028
38,hoptimus1report2025.tcga_uniform.linear_probe_top1,hoptimus1_report,top1_accuracy,5,0.0847457627118644,2.1704531006196426,2.1791884617464063,4.381604290332923,-0.2704531006196511,0.4000000000000057,-4.426132751549029,0.45000000000000284,0.5930400000000084,5,1.6754303020929768,1.208012772229992,True,1.208012772229992,lofo_matched_cells_greedy_k4_per_column,2.684472827177743,-1.0,-1.6844728271777432,False,,3.6598764006131317,1.4692078140906046
39,pathobench.exaone2025.visiomel.relapse-overall,pathobench,macro-ovr-auc,7,0.11864406779661017,2.170516002736857,2.1791884617464063,4.393424525973517,-0.2705160027368656,3.700000000000003,0.4133740533143634,4.450000000000003,5.4856200000000035,5,1.2410074917033,0.9866605253546936,True,0.9866605253546936,lofo_matched_cells_greedy_k4_per_column,0.22172146637184112,0.7782785336281589,0.7782785336281589,False,,0.39567378030867173,0.6203386502462738
40,eva.leaderboard.patch_camelyon_10shot.test,eva,balanced_accuracy,15,0.2542372881355932,2.171657406745741,2.190438793337563,4.113021962044694,-0.27165740674574934,2.700000000000003,0.1956824419460228,2.9499999999999886,4.003020000000004,11,5.2620561406017,4.377835047502231,True,4.377835047502231,lofo_matched_cells_greedy_k4_per_column,1.4840118805092364,-0.4840118805092364,-0.4840118805092364,False,,0.5425047605921876,0.340540448039322
41,eva.leaderboard.mhist.test,eva,balanced_accuracy,19,0.3220338983050847,2.1728226338301013,2.2046972138951375,3.98186511362543,-0.27282263383010985,1.0,-1.1728226338301013,1.0,1.4826,19,1.0805494972880325,2.362645530922407,False,2.362645530922407,lofo_matched_cells_greedy_k4_per_column,2.362645530922407,-1.0,-1.362645530922407,False,,1.465548788500001,0.36661049510860266
42,pathobench.exaone2025.cptac_lscc.histologic-grade,pathobench,macro-ovr-auc,7,0.11864406779661017,2.1752778820136136,2.1821745800051673,4.485385131018974,-0.27527788201362213,1.2999999999999972,-0.6732906784720141,4.0,1.9273799999999957,7,4.417806421116239,4.417806421116239,False,4.417806421116239,lofo_matched_cells_greedy_k4_per_column,1.1044516052790598,-0.10445160527905983,-0.10445160527905983,False,,1.1286191005476962,0.5176538762550752
43,hest.hoptimus1report2025.lymph_idc.gene_expression,hest,pearson_r,5,0.0847457627118644,2.1772395435643332,2.1809843274327676,4.353535450649111,-0.2772395435643418,0.20000000000000284,-9.886197717821512,0.5250000000000057,0.2965200000000042,5,0.49048369113695145,0.409024226942563,True,0.409024226942563,lofo_matched_cells_greedy_k4_per_column,,,,True,noise_floor,7.342639766505808,4.851504967241695
44,hest.hoptimus1report2025.coad.gene_expression,hest,pearson_r,5,0.0847457627118644,2.1792622240212474,2.1821745800051673,4.368208639272017,-0.2792622240212559,0.9500000000000028,-1.2939602358118325,1.9249999999999972,1.408470000000004,5,1.8402538581822796,1.6686135519842296,True,1.6686135519842296,lofo_matched_cells_greedy_k4_per_column,0.8668122347970036,0.13318776520299636,0.13318776520299636,False,,1.5472549816618324,1.742907894004592
